Time [s],Packet ID,MOSI,MISO
23.5317075000,5119,0x3F,
23.5319595000,5119,0x3F,
23.5321995000,5119,0x04,
23.5324275000,5119,0x07,
23.5327355000,5120,0x03,
23.5330600000,5121,0x3F,
23.5333150000,5121,0xBF,
23.5336370000,5121,0x3F,
23.5338895000,5121,0x3F,
23.5341290000,5121,0x04,
23.5343245000,5121,0x07,
23.5346655000,5122,0x04,
23.5349885000,5123,0x3F,
23.5352440000,5123,0xBF,
23.5355340000,5123,0x3F,
23.5358960000,5123,0x3F,
23.5361360000,5123,0x04,
23.5363315000,5123,0x07,
23.5366595000,5124,0x05,
23.5368510000,5124,0xA0,
23.5371415000,5125,0xFF,
23.5373865000,5126,0xFF,
23.5376755000,5126,0xFF,
23.6032080000,5126,0xFC,
23.6034565000,5126,0xE6,
23.6037465000,5126,0xDA,
23.6039960000,5126,0xFD,
23.6043190000,5126,0x00,
23.6045630000,5126,0x00,
23.6048560000,5126,0xFE,
23.6051100000,5126,0xFD,
23.6054030000,5126,0xE6,
23.6056515000,5126,0x00,
23.6060160000,5126,0x00,
23.6062625000,5126,0x00,
23.6064840000,5126,0x20,
23.6068930000,5127,0x10,
23.6072160000,5128,0x3F,
23.6074710000,5128,0xCF,
23.6077595000,5128,0x06,
23.6080090000,5128,0x4F,
23.6082495000,5128,0x44,
23.6084790000,5128,0x17,
23.6087885000,5129,0x11,
23.6091455000,5130,0x3F,
23.6094005000,5130,0xCF,
23.6096890000,5130,0x06,
23.6099385000,5130,0x4F,
23.6101790000,5130,0x44,
23.6104085000,5130,0x17,
23.6107180000,5131,0x12,
23.6112465000,5132,0x3F,
23.6115020000,5132,0xCF,
23.6117900000,5132,0x06,
23.6120400000,5132,0x4F,
23.6122800000,5132,0x44,
23.6125095000,5132,0x17,
23.6128515000,5133,0x13,
23.6131775000,5134,0x3F,
23.6134330000,5134,0xCF,
23.6137215000,5134,0x06,
23.6139710000,5134,0x4F,
23.6142115000,5134,0x44,
23.6144410000,5134,0x17,
23.6147505000,5135,0x14,
23.6151070000,5136,0x3F,
23.6153620000,5136,0xCF,
23.6156495000,5136,0x06,
23.6159780000,5136,0x4F,
23.6162180000,5136,0x44,
23.6164475000,5136,0x17,
23.6167575000,5137,0x15,
23.6171155000,5138,0x3F,
23.6173710000,5138,0xCF,
23.6176590000,5138,0x06,
23.6179085000,5138,0x4F,
23.6181480000,5138,0x44,
23.6183775000,5138,0x17,
23.6186870000,5139,0x00,
23.6190080000,5140,0x3F,
23.6192635000,5140,0xBF,
23.6195530000,5140,0x3F,
23.6198055000,5140,0x3F,
23.6200455000,5140,0x04,
23.6202735000,5140,0x07,
23.6206145000,5141,0x01,
23.6211395000,5142,0x3F,
23.6213945000,5142,0xBF,
23.6216840000,5142,0x3F,
23.6219360000,5142,0x3F,
23.6221760000,5142,0x04,
23.6224040000,5142,0x07,
23.6227120000,5143,0x02,
23.6230345000,5144,0x3F,
23.6232900000,5144,0xBF,
23.6236120000,5144,0x3F,
23.6238635000,5144,0x3F,
23.6240715000,5144,0x04,
23.6242995000,5144,0x07,
23.6246405000,5145,0x03,
23.6249650000,5146,0x3F,
23.6252205000,5146,0xBF,
23.6255105000,5146,0x3F,
23.6258725000,5146,0x3F,
23.6260805000,5146,0x04,
23.6263080000,5146,0x07,
23.6266485000,5147,0x04,
23.6269710000,5148,0x3F,
23.6272265000,5148,0xBF,
23.6275165000,5148,0x3F,
23.6277685000,5148,0x3F,
23.6280090000,5148,0x04,
23.6282365000,5148,0x07,
23.6285325000,5149,0x05,
23.6287560000,5149,0xA0,
23.6290145000,5150,0xFF,
23.6292585000,5151,0xFF,
23.6295475000,5151,0xFF,
23.7022220000,5151,0xFC,
23.7024705000,5151,0xE6,
23.7027605000,5151,0xDA,
23.7030100000,5151,0xFD,
23.7033335000,5151,0x00,
23.7035775000,5151,0x00,
23.7038700000,5151,0xFE,
23.7041235000,5151,0xFD,
23.7044170000,5151,0xE6,
23.7046655000,5151,0x00,
23.7049505000,5151,0x00,
23.7051975000,5151,0x00,
23.7054190000,5151,0x20,
23.7059075000,5152,0x10,
23.7062305000,5153,0x3F,
23.7064860000,5153,0xCF,
23.7067740000,5153,0x06,
23.7070240000,5153,0x4F,
23.7072640000,5153,0x44,
23.7074935000,5153,0x17,
23.7078355000,5154,0x11,
23.7081600000,5155,0x3F,
23.7084155000,5155,0xCF,
23.7087035000,5155,0x06,
23.7089535000,5155,0x4F,
23.7091935000,5155,0x44,
23.7094230000,5155,0x17,
23.7097325000,5156,0x12,
23.7100895000,5157,0x3F,
23.7103445000,5157,0xCF,
23.7106325000,5157,0x06,
23.7110515000,5157,0x4F,
23.7112915000,5157,0x44,
23.7115210000,5157,0x17,
23.7118625000,5158,0x13,
23.7121890000,5159,0x3F,
23.7124445000,5159,0xCF,
23.7127330000,5159,0x06,
23.7129825000,5159,0x4F,
23.7132230000,5159,0x44,
23.7134525000,5159,0x17,
23.7137620000,5160,0x14,
23.7141185000,5161,0x3F,
23.7143735000,5161,0xCF,
23.7146620000,5161,0x06,
23.7149115000,5161,0x4F,
23.7151520000,5161,0x44,
23.7153815000,5161,0x17,
23.7156905000,5162,0x15,
23.7161285000,5163,0x3F,
23.7163835000,5163,0xCF,
23.7166715000,5163,0x06,
23.7169205000,5163,0x4F,
23.7171610000,5163,0x44,
23.7173900000,5163,0x17,
23.7176995000,5164,0x00,
23.7180205000,5165,0x3F,
23.7182755000,5165,0xBF,
23.7185655000,5165,0x3F,
23.7188175000,5165,0x3F,
23.7190580000,5165,0x04,
23.7192860000,5165,0x07,
23.7196270000,5166,0x01,
23.7199500000,5167,0x3F,
23.7202055000,5167,0xBF,
23.7204950000,5167,0x3F,
23.7207475000,5167,0x3F,
23.7211895000,5167,0x04,
23.7214170000,5167,0x07,
23.7217255000,5168,0x02,
23.7220480000,5169,0x3F,
23.7223035000,5169,0xBF,
23.7226250000,5169,0x3F,
23.7228775000,5169,0x3F,
23.7230850000,5169,0x04,
23.7233125000,5169,0x07,
23.7236535000,5170,0x03,
23.7239780000,5171,0x3F,
23.7242335000,5171,0xBF,
23.7245235000,5171,0x3F,
23.7247755000,5171,0x3F,
23.7250160000,5171,0x04,
23.7252440000,5171,0x07,
23.7255525000,5172,0x04,
23.7259860000,5173,0x3F,
23.7262415000,5173,0xBF,
23.7265310000,5173,0x3F,
23.7267835000,5173,0x3F,
23.7270235000,5173,0x04,
23.7272515000,5173,0x07,
23.7275470000,5174,0x05,
23.7277705000,5174,0xA0,
23.7280290000,5175,0xFF,
23.7282735000,5176,0xFF,
23.7285625000,5176,0xFF,
23.8264755000,5176,0xFC,
23.8267245000,5176,0xE6,
23.8270060000,5176,0xDA,
23.8272555000,5176,0xFD,
23.8275385000,5176,0x00,
23.8277820000,5176,0x00,
23.8280670000,5176,0xFE,
23.8283210000,5176,0xFD,
23.8286060000,5176,0xE6,
23.8288550000,5176,0x00,
23.8291640000,5176,0x00,
23.8294115000,5176,0x00,
23.8296005000,5176,0x20,
23.8300090000,5177,0x10,
23.8303240000,5178,0x3F,
23.8305795000,5178,0xCF,
23.8308595000,5178,0x06,
23.8313110000,5178,0x4F,
23.8315510000,5178,0x44,
23.8317805000,5178,0x17,
23.8320905000,5179,0x11,
23.8324390000,5180,0x3F,
23.8326940000,5180,0xCF,
23.8329735000,5180,0x06,
23.8332235000,5180,0x4F,
23.8334635000,5180,0x44,
23.8336925000,5180,0x17,
23.8340020000,5181,0x12,
23.8343180000,5182,0x3F,
23.8345735000,5182,0xCF,
23.8348535000,5182,0x06,
23.8351035000,5182,0x4F,
23.8353435000,5182,0x44,
23.8355730000,5182,0x17,
23.8358825000,5183,0x13,
23.8363120000,5184,0x3F,
23.8365675000,5184,0xCF,
23.8368475000,5184,0x06,
23.8370970000,5184,0x4F,
23.8373375000,5184,0x44,
23.8375670000,5184,0x17,
23.8378765000,5185,0x14,
23.8382250000,5186,0x3F,
23.8384800000,5186,0xCF,
23.8387605000,5186,0x06,
23.8390095000,5186,0x4F,
23.8392500000,5186,0x44,
23.8394795000,5186,0x17,
23.8397885000,5187,0x15,
23.8401070000,5188,0x3F,
23.8403620000,5188,0xCF,
23.8406425000,5188,0x06,
23.8410945000,5188,0x4F,
23.8413340000,5188,0x44,
23.8415635000,5188,0x17,
23.8418735000,5189,0x00,
23.8422190000,5190,0x3F,
23.8424745000,5190,0xBF,
23.8427555000,5190,0x3F,
23.8430070000,5190,0x3F,
23.8432475000,5190,0x04,
23.8434750000,5190,0x07,
23.8437830000,5191,0x01,
23.8440980000,5192,0x3F,
23.8443530000,5192,0xBF,
23.8446350000,5192,0x3F,
23.8448870000,5192,0x3F,
23.8451275000,5192,0x04,
23.8453550000,5192,0x07,
23.8456960000,5193,0x02,
23.8460890000,5194,0x3F,
23.8463445000,5194,0xBF,
23.8466265000,5194,0x3F,
23.8468785000,5194,0x3F,
23.8471185000,5194,0x04,
23.8473465000,5194,0x07,
23.8476550000,5195,0x03,
23.8480035000,5196,0x3F,
23.8482590000,5196,0xBF,
23.8485410000,5196,0x3F,
23.8487925000,5196,0x3F,
23.8490330000,5196,0x04,
23.8492605000,5196,0x07,
23.8495690000,5197,0x04,
23.8498835000,5198,0x3F,
23.8501385000,5198,0xBF,
23.8504205000,5198,0x3F,
23.8507050000,5198,0x3F,
23.8511140000,5198,0x04,
23.8513415000,5198,0x07,
23.8516375000,5199,0x05,
23.8518610000,5199,0xA0,
23.8521195000,5200,0xFF,
23.8523635000,5201,0xFF,
23.8526530000,5201,0xFF,
23.9505360000,5201,0xFC,
23.9507850000,5201,0xE6,
23.9512690000,5201,0xDA,
23.9515185000,5201,0xFD,
23.9518015000,5201,0x00,
23.9520450000,5201,0x00,
23.9523300000,5201,0xFE,
23.9525835000,5201,0xFD,
23.9528690000,5201,0xE6,
23.9531175000,5201,0x00,
23.9533945000,5201,0x00,
23.9536415000,5201,0x00,
23.9538630000,5201,0x20,
23.9542720000,5202,0x10,
23.9545865000,5203,0x3F,
23.9548420000,5203,0xCF,
23.9551220000,5203,0x06,
23.9553720000,5203,0x4F,
23.9556120000,5203,0x44,
23.9558415000,5203,0x17,
23.9562625000,5204,0x11,
23.9565785000,5205,0x3F,
23.9568345000,5205,0xCF,
23.9571145000,5205,0x06,
23.9573640000,5205,0x4F,
23.9576045000,5205,0x44,
23.9578340000,5205,0x17,
23.9581435000,5206,0x12,
23.9584920000,5207,0x3F,
23.9587470000,5207,0xCF,
23.9590275000,5207,0x06,
23.9592765000,5207,0x4F,
23.9595170000,5207,0x44,
23.9597465000,5207,0x17,
23.9600555000,5208,0x13,
23.9603730000,5209,0x3F,
23.9606285000,5209,0xCF,
23.9609085000,5209,0x06,
23.9613600000,5209,0x4F,
23.9616000000,5209,0x44,
23.9618295000,5209,0x17,
23.9621390000,5210,0x14,
23.9624555000,5211,0x3F,
23.9627110000,5211,0xCF,
23.9630235000,5211,0x06,
23.9632730000,5211,0x4F,
23.9635125000,5211,0x44,
23.9637095000,5211,0x17,
23.9640515000,5212,0x15,
23.9643700000,5213,0x3F,
23.9646250000,5213,0xCF,
23.9649050000,5213,0x06,
23.9651545000,5213,0x4F,
23.9653950000,5213,0x44,
23.9656245000,5213,0x17,
23.9659345000,5214,0x00,
23.9663590000,5215,0x3F,
23.9666145000,5215,0xBF,
23.9668965000,5215,0x3F,
23.9671485000,5215,0x3F,
23.9673890000,5215,0x04,
23.9676165000,5215,0x07,
23.9679255000,5216,0x01,
23.9682725000,5217,0x3F,
23.9685275000,5217,0xBF,
23.9688085000,5217,0x3F,
23.9690605000,5217,0x3F,
23.9693010000,5217,0x04,
23.9695285000,5217,0x07,
23.9698375000,5218,0x02,
23.9701515000,5219,0x3F,
23.9704070000,5219,0xBF,
23.9706890000,5219,0x3F,
23.9709410000,5219,0x3F,
23.9713820000,5219,0x04,
23.9716100000,5219,0x07,
23.9719185000,5220,0x03,
23.9722350000,5221,0x3F,
23.9724905000,5221,0xBF,
23.9728050000,5221,0x3F,
23.9730570000,5221,0x3F,
23.9732975000,5221,0x04,
23.9734930000,5221,0x07,
23.9738330000,5222,0x04,
23.9741480000,5223,0x3F,
23.9744030000,5223,0xBF,
23.9746845000,5223,0x3F,
23.9749370000,5223,0x3F,
23.9751770000,5223,0x04,
23.9754050000,5223,0x07,
23.9757005000,5224,0x05,
23.9759240000,5224,0xA0,
23.9762930000,5225,0xFF,
23.9765380000,5226,0xFF,
23.9768275000,5226,0xFF,
24.0424230000,5226,0xFC,
24.0426715000,5226,0xE6,
24.0429860000,5226,0xDA,
24.0432355000,5226,0xFD,
24.0435180000,5226,0x00,
24.0437615000,5226,0x00,
24.0440465000,5226,0xFE,
24.0443000000,5226,0xFD,
24.0445855000,5226,0xE6,
24.0448340000,5226,0x00,
24.0451110000,5226,0x00,
24.0453580000,5226,0x00,
24.0455795000,5226,0x20,
24.0459885000,5227,0x10,
24.0463830000,5228,0x3F,
24.0466385000,5228,0xCF,
24.0469185000,5228,0x06,
24.0471680000,5228,0x4F,
24.0474085000,5228,0x44,
24.0476380000,5228,0x17,
