Time [s],Packet ID,MOSI,MISO,Actual Value
31.8719950000,6841,0x04,,
31.8722230000,6841,0x07,,
31.8725315000,6842,0x02,,
31.8728785000,6843,0x3F,,
31.8731335000,6843,0xBF,,
31.8734145000,6843,0x3F,,
31.8737450000,6843,0x3F,,
31.8739845000,6843,0x04,,
31.8742125000,6843,0x07,,
31.8745210000,6844,0x03,,
31.8748695000,6845,0x3F,,
31.8751250000,6845,0xBF,,
31.8754065000,6845,0x3F,,
31.8756590000,6845,0x3F,,
31.8758990000,6845,0x04,,
31.8761260000,6845,0x07,,
31.8764345000,6846,0x04,,
31.8767495000,6847,0x3F,,
31.8770045000,6847,0xBF,,
31.8772865000,6847,0x3F,,
31.8775385000,6847,0x3F,,
31.8777790000,6847,0x04,,
31.8780065000,6847,0x07,,
31.8783025000,6848,0x05,,
31.8785260000,6848,0xA0,,
31.8789855000,6849,0xFF,,
31.8792295000,6850,0xFF,,
31.8795190000,6850,0xFF,,
31.9774750000,6850,0xE0,,7
31.9777210000,6850,0xDA,,2
31.9780025000,6850,0x60,,1
31.9782500000,6850,0xFD,,0.
31.9785330000,6850,0x00,,
31.9789785000,6850,0x00,,
31.9792635000,6850,0xFE,,8
31.9795175000,6850,0xE7,,9.
31.9798015000,6850,0xF2,,3
31.9800505000,6850,0x00,,
31.9803275000,6850,0x00,,
31.9805745000,6850,0x00,,
31.9807960000,6850,0x20,,
31.9812050000,6851,0x10,,
31.9815205000,6852,0x3F,,
31.9817755000,6852,0xCF,,
31.9820560000,6852,0x06,,
31.9823055000,6852,0x4F,,
31.9825455000,6852,0x44,,
31.9827750000,6852,0x17,,
31.9830850000,6853,0x11,,
31.9834330000,6854,0x3F,,
31.9837675000,6854,0xCF,,
31.9840470000,6854,0x06,,
31.9842970000,6854,0x4F,,
31.9845370000,6854,0x44,,
31.9847665000,6854,0x17,,
31.9850760000,6855,0x12,,
31.9854245000,6856,0x3F,,
31.9856800000,6856,0xCF,,
31.9859600000,6856,0x06,,
31.9862095000,6856,0x4F,,
31.9864495000,6856,0x44,,
31.9866785000,6856,0x17,,
31.9869880000,6857,0x13,,
31.9873055000,6858,0x3F,,
31.9875610000,6858,0xCF,,
31.9878410000,6858,0x06,,
31.9880910000,6858,0x4F,,
31.9883310000,6858,0x44,,
31.9885605000,6858,0x17,,
31.9890720000,6859,0x14,,
31.9894205000,6860,0x3F,,
31.9896755000,6860,0xCF,,
31.9899550000,6860,0x06,,
31.9902045000,6860,0x4F,,
31.9904450000,6860,0x44,,
31.9906745000,6860,0x17,,
31.9909835000,6861,0x15,,
31.9913015000,6862,0x3F,,
31.9915570000,6862,0xCF,,
31.9918370000,6862,0x06,,
31.9920870000,6862,0x4F,,
31.9923270000,6862,0x44,,
31.9925565000,6862,0x17,,
31.9928665000,6863,0x00,,
31.9932125000,6864,0x3F,,
31.9934675000,6864,0xBF,,
31.9938280000,6864,0x3F,,
31.9940800000,6864,0x3F,,
31.9943200000,6864,0x04,,
31.9945480000,6864,0x07,,
31.9948565000,6865,0x01,,
31.9952035000,6866,0x3F,,
31.9954585000,6866,0xBF,,
31.9957405000,6866,0x3F,,
31.9959925000,6866,0x3F,,
31.9962325000,6866,0x04,,
31.9964605000,6866,0x07,,
31.9967685000,6867,0x02,,
31.9970830000,6868,0x3F,,
31.9973385000,6868,0xBF,,
31.9976200000,6868,0x3F,,
31.9978720000,6868,0x3F,,
31.9981125000,6868,0x04,,
31.9983405000,6868,0x07,,
31.9988500000,6869,0x03,,
31.9991990000,6870,0x3F,,
31.9994540000,6870,0xBF,,
31.9997350000,6870,0x3F,,
31.9999875000,6870,0x3F,,
32.0002275000,6870,0x04,,
32.0004550000,6870,0x07,,
32.0007630000,6871,0x04,,
32.0010780000,6872,0x3F,,
32.0013335000,6872,0xBF,,
32.0016150000,6872,0x3F,,
32.0018670000,6872,0x3F,,
32.0021075000,6872,0x04,,
32.0023355000,6872,0x07,,
32.0026310000,6873,0x05,,
32.0028545000,6873,0xA0,,
32.0031130000,6874,0xFF,,
32.0033575000,6875,0xFF,,
32.0037575000,6875,0xFF,,
32.0694075000,6875,0xE0,,7
32.0696540000,6875,0xDA,,2
32.0699350000,6875,0x60,,1
32.0701825000,6875,0xFD,,0.
32.0704650000,6875,0x00,,
32.0707090000,6875,0x00,,
32.0709940000,6875,0xFE,,8
32.0712475000,6875,0xE7,,9.
32.0715320000,6875,0xF2,,3
32.0717810000,6875,0x00,,
32.0720580000,6875,0x00,,
32.0723050000,6875,0x00,,
32.0725265000,6875,0x20,,
32.0729355000,6876,0x10,,
32.0732500000,6877,0x3F,,
32.0735055000,6877,0xCF,,
32.0738970000,6877,0x06,,
32.0741460000,6877,0x4F,,
32.0743860000,6877,0x44,,
32.0745830000,6877,0x17,,
32.0749245000,6878,0x11,,
32.0752410000,6879,0x3F,,
32.0754960000,6879,0xCF,,
32.0757760000,6879,0x06,,
32.0760255000,6879,0x4F,,
32.0762660000,6879,0x44,,
32.0764955000,6879,0x17,,
32.0768050000,6880,0x12,,
32.0771540000,6881,0x3F,,
32.0774090000,6881,0xCF,,
32.0776890000,6881,0x06,,
32.0779390000,6881,0x4F,,
32.0781785000,6881,0x44,,
32.0784080000,6881,0x17,,
32.0789210000,6882,0x13,,
32.0792385000,6883,0x3F,,
32.0794940000,6883,0xCF,,
32.0797745000,6883,0x06,,
32.0800240000,6883,0x4F,,
32.0802640000,6883,0x44,,
32.0804935000,6883,0x17,,
32.0808035000,6884,0x14,,
32.0811515000,6885,0x3F,,
32.0814065000,6885,0xCF,,
32.0816860000,6885,0x06,,
32.0819360000,6885,0x4F,,
32.0821760000,6885,0x44,,
32.0824055000,6885,0x17,,
32.0827150000,6886,0x15,,
32.0830330000,6887,0x3F,,
32.0832880000,6887,0xCF,,
32.0835685000,6887,0x06,,
32.0839295000,6887,0x4F,,
32.0841700000,6887,0x44,,
32.0843995000,6887,0x17,,
32.0847090000,6888,0x00,,
32.0850220000,6889,0x3F,,
32.0852770000,6889,0xBF,,
32.0855590000,6889,0x3F,,
32.0858110000,6889,0x3F,,
32.0860515000,6889,0x04,,
32.0862790000,6889,0x07,,
32.0865875000,6890,0x01,,
32.0869350000,6891,0x3F,,
32.0871905000,6891,0xBF,,
32.0874715000,6891,0x3F,,
32.0877235000,6891,0x3F,,
32.0879635000,6891,0x04,,
32.0881910000,6891,0x07,,
32.0884990000,6892,0x02,,
32.0890150000,6893,0x3F,,
32.0892705000,6893,0xBF,,
32.0895525000,6893,0x3F,,
32.0898045000,6893,0x3F,,
32.0900445000,6893,0x04,,
32.0902725000,6893,0x07,,
32.0905810000,6894,0x03,,
32.0909295000,6895,0x3F,,
32.0911845000,6895,0xBF,,
32.0914660000,6895,0x3F,,
32.0917180000,6895,0x3F,,
32.0919585000,6895,0x04,,
32.0921860000,6895,0x07,,
32.0924940000,6896,0x04,,
32.0928090000,6897,0x3F,,
32.0930645000,6897,0xBF,,
32.0933465000,6897,0x3F,,
32.0935985000,6897,0x3F,,
32.0939490000,6897,0x04,,
32.0941765000,6897,0x07,,
32.0944720000,6898,0x05,,
32.0946960000,6898,0xA0,,
32.0949540000,6899,0xFF,,
32.0951985000,6900,0xFF,,
32.0954880000,6900,0xFF,,
32.2007000000,6900,0xE0,,7
32.2009140000,6900,0xDA,,2
32.2012270000,6900,0x60,,1
32.2014750000,6900,0xFD,,0.
32.2017575000,6900,0x00,,
32.2020020000,6900,0x00,,
32.2022865000,6900,0xFE,,8
